PLAYER,TEAM,AGE,HEIGHT_EXCEL_ERROR,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,HEIGHT_unformatted,HEIGHT
Sandro Mamukelashvili,SAS,24,9-Jun,240,Seton Hall,Georgia,2021,2,54,10,2.4,1.4,1,-6.1,7.5,13.6,15.6,53,21.7,6-9,81
Santi Aldama,MEM,22,Jul-00,215,Loyola-Maryland,Spain,2021,1,30,18,12.3,5.9,2.1,-2.5,5.5,15.9,20.1,53.2,13,7-1,85
Sasha Vezenkov,SAC,28,8-Jun,225,None,Bulgaria,2017,2,57,21,6,2.7,0.5,5.3,4.3,14.7,16.5,56,4.7,6-8,80
Scoot Henderson,POR,19,3-Jun,202,None,USA,2023,1,3,16,11.3,2.6,4.3,-4.6,2.6,7,24.5,45.2,25.7,6-3,75
Scottie Barnes,TOR,22,7-Jun,237,Florida State,USA,2021,1,4,25,20.2,8.9,5.7,-3.9,7.1,17.7,23.2,58.1,24.4,6-7,79
Seth Curry,DAL,33,1-Jun,185,Duke,USA,Undrafted,Undrafted,Undrafted,20,4.7,1.6,1,12.1,3.9,7.7,15.2,53.8,10.3,6-1,73
Seth Lundy,ATL,23,4-Jun,220,Penn State,USA,2023,2,46,1,2,0,0,-100,0,0,33.3,100,0,6-4,76
Shaedon Sharpe,POR,20,5-Jun,205,Kentucky,Canada,2022,1,7,25,17.4,5.5,3.4,-8.1,3.6,11.9,21.9,53.6,14.4,6-5,77
Shai Gilgeous-Alexander,OKC,25,6-Jun,195,Kentucky,Canada,2018,1,11,23,30.7,5.5,6.4,12.2,2.6,11.8,31,63.5,30.4,6-6,78
Shake Milton,MIN,27,5-Jun,205,Southern Methodist,USA,2018,2,54,24,5.7,1.7,1.5,-2.8,1.3,9.1,18,49.3,13.9,6-5,77
Shaquille Harrison,MEM,30,4-Jun,195,Tulsa,USA,Undrafted,Undrafted,Undrafted,3,0.7,0.7,0,-75.3,0,40,15.4,50,0,6-4,76
Sidy Cissoko,SAS,19,6-Jun,200,None,France,2023,2,44,1,0,0,0,-24.4,0,0,10,0,0,6-6,78
Simone Fontecchio,UTA,28,7-Jun,209,None,Italy,Undrafted,Undrafted,Undrafted,24,8.8,2.7,1.1,-13.1,3.6,9.1,16.6,61,8.7,6-7,79
Skylar Mays,POR,26,3-Jun,205,Louisiana State,USA,2020,2,50,15,7.3,1.7,4.5,-9.9,1.6,7.9,18.2,48.8,34,6-3,75
Spencer Dinwiddie,BKN,30,5-Jun,215,Colorado,USA,2014,2,38,24,14.9,4,6.8,4.4,1.6,10.1,20.2,54.6,28.3,6-5,77
Stanley Umude,DET,24,6-Jun,210,Arkansas,USA,Undrafted,Undrafted,Undrafted,15,5,1.9,0.5,-11.4,2.1,15.1,16.9,69.3,7.7,6-6,78
Stephen Curry,GSW,35,2-Jun,185,Davidson,USA,2009,1,7,24,28,4.8,4.4,-1.5,1.7,12.2,29.9,65,21.9,6-2,74
Svi Mykhailiuk,BOS,26,7-Jun,205,Kansas,Ukraine,2018,2,47,9,1.8,0.6,0.1,4.4,1.7,5.6,14.3,44.4,2.1,6-7,79
T.J. McConnell,IND,31,1-Jun,190,Arizona,USA,2015,0,,19,7.9,2.7,4.8,-1.6,3.5,14.4,22.1,53.2,42.2,6-1,73
Taj Gibson,NYK,38,9-Jun,232,Southern California,USA,2009,1,26,2,1,0.5,0,5.6,9.1,0,15,33.3,0,6-9,81
Talen Horton-Tucker,UTA,23,4-Jun,234,Iowa State,USA,2019,2,46,26,10.5,2.7,4.2,-3.3,2,9.5,22.6,49.7,27.8,6-4,76
Tari Eason,HOU,22,8-Jun,215,Louisiana State,USA,2022,1,17,16,9,7.2,1.2,15.2,8.6,22.3,18.1,56,9.2,6-8,80
Taurean Prince,LAL,29,6-Jun,218,Baylor,USA,2016,1,12,24,9.5,2.7,1.6,0,1,7.1,12.9,57,7.1,6-6,78
Taylor Hendricks,UTA,20,9-Jun,215,Central Florida,USA,2023,1,9,8,6.4,2.6,0.5,4.8,5.2,7.9,14.9,51.5,3.3,6-9,81
Terance Mann,LAC,27,5-Jun,215,Florida State,USA,2019,2,48,20,6.7,3.5,2.1,6.1,4.4,8.6,11.5,50.9,10,6-5,77
Terry Rozier,CHA,29,1-Jun,190,Louisville,USA,2015,1,16,15,23.1,3.4,7.1,-9.1,1.5,8,26.2,58.4,30.2,6-1,73
Terry Taylor,CHI,24,4-Jun,230,Austin Peay,USA,Undrafted,Undrafted,Undrafted,6,0.7,0.3,0,-7.5,6.7,6.7,6.3,100,0,6-4,76
Thaddeus Young,TOR,35,8-Jun,225,Georgia Tech,USA,2007,1,12,4,1,0.8,0.8,42.9,6.3,15.4,19.4,41,37.5,6-8,80
Thanasis Antetokounmpo,MIL,31,7-Jun,219,None,Greece,2014,2,51,11,0.7,0.5,0.4,1.6,7.1,4.7,11.1,44.4,9.8,6-7,79
Theo Maledon,PHX,22,4-Jun,175,None,France,2020,2,34,13,4.2,1.8,2.2,-13.2,1.8,9.8,16.8,37.9,17.9,6-4,76
Thomas Bryant,MIA,26,10-Jun,248,Indiana,USA,2017,2,42,17,5,3.8,0.6,-7.7,9.3,22.4,18.1,58.3,7.6,6-10,82
Tim Hardaway Jr.,DAL,31,5-Jun,205,Michigan,USA,2013,1,24,22,17.7,3.5,1.5,0,1.2,10.9,23.4,57.3,7.5,6-5,77
Tobias Harris,PHI,31,8-Jun,226,Tennessee,USA,2011,1,19,26,16.3,6,2.7,10.8,2.9,14.6,18.6,61.3,10.7,6-8,80
Torrey Craig,CHI,33,5-Jun,221,South Carolina Upstate,USA,Undrafted,Undrafted,Undrafted,27,6.1,4.8,1,-7.7,7.6,14.5,12,55.3,6.8,6-5,77
Toumani Camara,POR,23,7-Jun,226,Dayton,Belgium,2023,2,52,25,7.4,4.6,1.1,-5,6.9,10.9,13.4,50.5,6,6-7,79
Trae Young,ATL,25,1-Jun,164,Oklahoma,USA,2018,1,5,23,28,2.9,10.8,0.3,1.6,6.4,31.1,58.3,43.8,6-1,73
Trayce Jackson-Davis,GSW,23,9-Jun,245,Indiana,USA,2023,2,57,16,3.6,2.1,0.6,9.5,12.9,10.9,16.2,60.8,8.8,6-9,81
Tre Jones,SAS,23,1-Jun,185,Duke,USA,2020,2,41,21,7.7,2.6,5,-4.7,1.9,8.7,15.1,52.6,28.2,6-1,73
Tre Mann,OKC,22,3-Jun,178,Florida,USA,2021,1,18,8,4.8,2.1,1.5,-3.2,3.8,15.4,20.3,58.6,20.7,6-3,75
Trendon Watford,BKN,23,8-Jun,237,Louisiana State,USA,Undrafted,Undrafted,Undrafted,18,6.6,3.5,2,7.4,7.6,15,19.5,58.1,18.5,6-8,80
Trent Forrest,ATL,25,4-Jun,210,Florida State,USA,Undrafted,Undrafted,Undrafted,7,1.4,1.1,1.7,-17.5,5.1,7.4,12.7,29.8,26.7,6-4,76
Trey Lyles,SAC,28,9-Jun,234,Kentucky,Canada,2015,1,12,11,6.9,5.8,1.5,8.2,4.9,22.8,14.5,54.8,9.9,6-9,81
Trey Murphy III,NOP,23,8-Jun,206,Virginia,USA,2021,1,17,7,16,3.9,2,19.6,0.5,13.3,19,66.6,10.9,6-8,80
Tristan Thompson,CLE,32,9-Jun,254,Texas-Austin,Canada,2011,1,4,21,2.9,3.2,0.7,-1.6,14,17.5,10.9,68.6,9.6,6-9,81
Troy Brown Jr.,MIN,24,7-Jun,215,Oregon,USA,2018,1,15,20,6,2.8,1.2,7.9,3.9,12.1,14.4,62,10.1,6-7,79
Ty Jerome,CLE,26,5-Jun,195,Virginia,USA,2019,1,24,2,2,0.5,1.5,-37.1,6.7,0,14.7,50,27.3,6-5,77
