PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
LaMelo Ball,CHA,15,4.1,16,1.15,4.7,1.7,3.8,43.9,59.6,1.6,4.9,1.6,0,42.6,69
Anthony Edwards,MIN,18,3.4,13.4,1.13,3.9,1.3,3.1,43.6,55.5,9.7,3.2,9.7,1.6,46.8,65
Devin Vassell,SAS,15,3.3,20.4,1.41,4.6,1.6,3.1,52.2,70.7,6.1,2,6.1,2,53.1,95.4
D'Angelo Russell,LAL,21,2.9,18,1.13,3.3,1.1,2.8,39.7,56,3.3,1.6,3.3,0,41,65.3
Lauri Markkanen,UTA,15,4.3,21.1,1.06,4.6,1.5,4.2,36.5,53.2,1.5,1.5,1.5,0,36.9,54.1
Cameron Payne,MIL,20,2.5,42,1.36,3.4,1.2,2.3,52.2,69.6,4,4,4,0,52,92.7
Kyrie Irving,DAL,16,3.1,14.3,1.36,4.3,1.6,2.9,53.2,71.3,2,6,2,2,50,92.7
Mike Conley,MIN,20,3.1,31.3,1.11,3.4,1.2,2.9,39.7,56.9,1.6,3.3,1.6,0,39.3,64.4
Bruce Brown,IND,18,3.8,32.9,1,3.8,1.4,3.6,40.6,51.6,2.9,4.4,2.9,1.5,39.7,43.9
Keegan Murray,SAC,14,4.9,34.7,0.99,4.9,1.8,4.5,39.7,50.8,4.3,4.3,4.3,0,40.6,40.3
Jaren Jackson Jr.,MEM,20,4.4,21.2,0.78,3.4,1.2,3.9,31.2,37.7,8,4.6,6.9,1.1,34.5,15.2
Patrick Williams,CHI,22,4.2,46.3,0.72,3,1,3.5,30.3,40.8,4.3,14,4.3,0,28,9.2
Julius Randle,NYK,19,5.5,23.4,0.64,3.5,1.1,4.7,23.3,31.1,6.7,6.7,6.7,0,26.9,5.6
Jrue Holiday,BOS,17,3.1,22.2,1.25,3.9,1.4,2.9,46,64,1.9,3.8,1.9,0,45.3,83.5
Jalen Johnson,ATL,15,3.6,28.6,1.22,4.4,1.5,2.8,54.8,67.9,9.3,13,5.6,0,51.9,80.9
Gary Trent Jr.,TOR,18,3.8,33.5,0.96,3.7,1.3,3.5,36.5,49.2,5.8,4.3,5.8,1.4,37.7,36.4
Jaylen Brown,BOS,18,3.8,17,0.96,3.7,1.3,3.6,35.4,46.2,5.8,2.9,4.3,2.9,36.2,36.4
Dario Saric,GSW,21,2.7,26.4,1.16,3.1,1,2.4,43.1,56.9,8.9,3.6,7.1,3.6,44.6,71.3
Killian Hayes,DET,20,3.2,30.3,1.03,3.3,1.2,3,40.7,52.5,3.2,3.2,3.2,0,41.3,49.7
Collin Sexton,UTA,21,3,23.7,1.03,3.1,1,2.3,45.8,60.4,7.9,17.5,7.9,1.6,41.3,49.7
Luguentz Dort,OKC,20,3.4,35.4,0.96,3.3,1.1,3.1,36.1,49.2,4.4,5.9,4.4,0,36.8,36
Josh Green,DAL,18,3.9,52.2,0.93,3.6,1.3,3.6,37.5,50,2.9,7.1,2.9,1.4,34.3,31.4
Jeremy Sochan,SAS,20,2.6,19.4,1.23,3.2,1.2,2.3,50,63,7.7,5.8,7.7,1.9,50,83.1
Cameron Johnson,BKN,13,4.5,31.2,1.1,4.9,1.7,4.2,40.7,58.3,1.7,5.2,1.7,0,39.7,63.4
Tobias Harris,PHI,20,3,18,1.08,3.2,1.2,2.8,41.1,53.6,3.4,3.4,3.4,1.7,40.7,59.4
Jalen Williams,OKC,17,3.1,18.6,1.21,3.7,1.3,2.8,45.8,60.4,7.7,3.8,5.8,3.8,46.2,79.5
Bilal Coulibaly,WAS,19,2.8,34.8,1.17,3.3,1.2,2.6,44,58,7.4,3.7,5.6,3.7,44.4,72.1
Jordan Poole,WAS,19,3.1,15.6,1.09,3.3,1.1,2.6,40.8,55.1,8.6,8.6,8.6,1.7,41.4,59.7
Ochai Agbaji,UTA,21,2.4,40.2,1.22,3,1,2.3,43.8,62.5,2,3.9,2,0,43.1,80.5
Christian Braun,DEN,22,2.4,27.9,1.17,2.8,1,2.1,47.8,57.6,11.3,5.7,11.3,3.8,49.1,72.6
Josh Richardson,MIA,18,3.4,33.9,1,3.4,1.2,3.1,39.3,52.7,3.2,6.5,1.6,0,38.7,43.9
Dyson Daniels,NOP,21,3.5,39.2,0.84,3,1.1,3.2,35.8,46.3,1.4,8.1,1.4,0,32.4,19.1
Taurean Prince,LAL,19,3.9,44.9,0.83,3.3,1.3,3.8,33.3,41,2.7,2.7,2.7,1.3,33.3,18.2
Kyle Lowry,MIA,20,2.4,27.2,1.3,3.1,1.1,2.3,45.7,66.3,0,2.1,0,0,44.7,89.4
Matt Ryan,NOP,13,4,50,1.17,4.7,1.5,3.7,41.7,60.4,3.8,5.8,3.8,1.9,40.4,74.6
Keyonte George,UTA,21,2.9,21.7,1.02,2.9,1,2.5,37.7,50,8.3,6.7,8.3,3.3,38.3,47.9
De'Aaron Fox,SAC,13,4.7,17.2,1,4.7,1.7,4.3,39.3,50.9,6.6,3.3,6.6,1.6,41,43.9
Jonathan Kuminga,GSW,20,3.5,30,0.87,3.1,1.2,2.9,40.4,49.1,7.1,11.4,7.1,0,38.6,24.4
Immanuel Quickley,NYK,19,3.7,25.6,0.86,3.2,1.2,3.4,33.8,40.8,7,4.2,7,2.8,35.2,23.2
Andrew Wiggins,GSW,19,3.7,25.2,0.86,3.2,1.2,3.4,33.8,42.3,5.6,4.2,4.2,1.4,35.2,23.2
Herbert Jones,NOP,18,4.1,37.2,0.84,3.4,1.2,3.4,33.9,46.8,2.7,12.3,1.4,0,31.5,18.5
Cason Wallace,OKC,20,2,34.5,1.54,3,1.1,1.9,56.8,78.4,5.1,2.6,5.1,2.6,56.4,98.7
LeBron James,LAL,20,2.5,10.8,1.22,3,1.1,2.3,45.7,63,4.1,4.1,4.1,2,44.9,81.2
Ayo Dosunmu,CHI,20,2.6,40.2,1.18,3,1.1,2.3,47.8,62,3.9,5.9,3.9,0,47.1,75.9
Bennedict Mathurin,IND,18,3,22.8,1.11,3.3,1.2,2.6,47.8,56.5,11.1,7.4,9.3,3.7,48.1,64
Jordan Clarkson,UTA,17,3.6,17.8,0.98,3.5,1.3,2.9,44.9,55.1,6.6,13.1,6.6,0,41,39.9
Torrey Craig,CHI,22,2.8,50.4,0.97,2.7,1,2.6,37.9,51.7,0,6.5,0,0,35.5,38.3
Talen Horton-Tucker,UTA,21,3,25.9,0.95,2.9,1,2.8,36.2,49.1,3.2,6.3,3.2,1.6,34.9,35.1
David Roddy,MEM,20,3.4,38.2,0.87,3,1,3,33.3,45.8,5.9,7.4,5.9,1.5,32.4,24.1
