,GP_PnR_handler,POSS_PnR_handler,FREQ%_PnR_handler,PPP_PnR_handler,PTS_PnR_handler,FGM_PnR_handler,FGA_PnR_handler,FG%_PnR_handler,EFG%_PnR_handler,FT_PnR_handler,TOV_PnR_handler,SF_PnR_handler,AND ONE_PnR_handler,SCORE_PnR_handler,PERCENTILE_PnR_handler,LABEL,PLAYER,Constant
137,15.0,0.9,13.0,1.14,1.1,0.4,0.7,54.5,72.7,7.1,21.4,7.1,7.1,42.9,92.5,2,Brandin Podziemski,
138,18.0,0.9,8.4,1.0,0.9,0.3,0.5,66.7,77.8,6.3,37.5,6.3,0,43.8,76.2,2,Grayson Allen,
139,21.0,1.1,23.1,0.67,0.8,0.3,0.8,43.8,43.8,8.3,29.2,8.3,4.2,33.3,17.6,0,Joe Ingles,
140,20.0,1.3,11.7,0.64,0.8,0.4,1.2,30.4,30.4,8,4,4,4,32,16.5,0,Norman Powell,
141,17.0,0.8,16.9,1.07,0.9,0.3,0.6,50.0,50.0,21.4,7.1,21.4,0,57.1,86.1,2,Dante Exum,
142,17.0,1.0,13.9,0.88,0.9,0.3,0.7,41.7,41.7,17.6,11.8,11.8,0,47.1,53.7,2,Cam Reddish,
143,11.0,1.7,14.6,0.79,1.4,0.5,1.5,37.5,40.6,10.5,10.5,10.5,5.3,36.8,36.7,0,Caleb Martin,
144,20.0,1.3,16.6,0.6,0.8,0.3,1.0,31.6,34.2,4,20,0,0,28,12.0,0,Nickeil Alexander-Walker,
145,19.0,0.6,6.3,1.17,0.7,0.3,0.5,50.0,60.0,8.3,8.3,8.3,0,50,93.6,2,Corey Kispert,
146,15.0,0.9,11.6,1.08,0.9,0.3,0.7,45.5,63.6,7.7,15.4,7.7,7.7,38.5,88.8,2,Landry Shamet,
147,18.0,0.7,4.9,1.08,0.8,0.3,0.7,38.5,50.0,7.7,0,7.7,7.7,38.5,88.8,2,P.J. Washington,
148,18.0,0.8,5.9,0.93,0.8,0.3,0.7,41.7,50.0,13.3,13.3,13.3,6.7,40,64.4,2,Aaron Gordon,
149,19.0,0.9,11.0,0.82,0.7,0.3,0.5,50.0,55.0,17.6,29.4,17.6,5.9,35.3,42.0,2,Bilal Coulibaly,
150,13.0,1.4,34.6,0.78,1.1,0.5,0.8,63.6,63.6,0,38.9,0,0,38.9,33.9,2,Ish Smith,
151,13.0,1.4,20.2,0.78,1.1,0.5,1.1,50.0,50.0,5.6,22.2,5.6,5.6,38.9,33.9,2,Trendon Watford,
152,16.0,1.2,20.7,0.74,0.9,0.4,1.0,43.8,43.8,0,15.8,0,0,36.8,26.1,0,Max Christie,
153,20.0,1.1,17.3,0.64,0.7,0.3,0.8,40.0,43.3,4.5,27.3,4.5,0,31.8,16.0,0,Ayo Dosunmu,
154,19.0,0.6,6.6,1.18,0.7,0.3,0.5,55.6,66.7,9.1,9.1,9.1,0,54.5,95.2,2,Taurean Prince,
155,8.0,1.6,35.1,1.0,1.6,0.6,1.1,55.6,66.7,7.7,23.1,7.7,0,46.2,76.2,2,Vasilije Micic,
156,20.0,0.7,3.2,1.0,0.7,0.3,0.6,50.0,54.2,0,7.7,0,0,46.2,76.2,2,Jaren Jackson Jr.,
157,22.0,1.0,12.1,0.56,0.6,0.3,1.0,28.6,31.0,0,8.7,0,0,26.1,9.0,0,Christian Braun,
158,9.0,1.2,9.0,1.09,1.3,0.3,0.9,37.5,43.8,36.4,9.1,36.4,18.2,45.5,89.9,2,Kelly Oubre Jr.,
159,7.0,1.7,36.4,1.0,1.7,0.9,1.3,66.7,66.7,0,25,0,0,50,76.2,2,Tre Mann,
160,9.0,2.2,12.4,0.6,1.3,0.6,2.0,27.8,33.3,0,10,0,0,25,12.0,0,Miles Bridges,
161,21.0,1.0,7.4,0.55,0.6,0.2,0.8,31.3,37.5,0,27.3,0,0,22.7,7.4,0,Max Strus,
