,GP_spot_up,POSS_spot_up,FREQ%_spot_up,PPP_spot_up,PTS_spot_up,FGM_spot_up,FGA_spot_up,FG%_spot_up,EFG%_spot_up,FT_spot_up,TOV_spot_up,SF_spot_up,AND ONE_spot_up,SCORE_spot_up,PERCENTILE_spot_up,LABEL,PLAYER,Constant
260,11.0,2.4,32.9,0.81,1.9,0.7,2.0,36.4,47.7,0,15.4,0,0,30.8,16.8,1,Tari Eason,
261,17.0,1.7,34.9,0.72,1.2,0.5,1.6,32.1,37.5,3.4,3.4,3.4,3.4,31,9.6,1,Dante Exum,
262,12.0,1.7,42.6,1.0,1.7,0.5,1.5,33.3,50.0,5,5,5,0,35,43.9,1,Vince Williams Jr.,
263,8.0,2.6,11.6,0.95,2.5,0.9,2.4,36.8,47.4,4.8,4.8,4.8,0,38.1,35.1,1,Tyler Herro,
264,10.0,2.0,40.0,0.95,1.9,0.6,1.8,33.3,50.0,5,5,5,0,35,34.1,1,Kenrich Williams,
265,13.0,2.1,27.8,0.7,1.5,0.5,1.8,29.2,37.5,7.4,7.4,7.4,3.7,29.6,7.9,1,Dennis Smith Jr.,
266,8.0,2.1,26.2,1.06,2.3,0.6,2.0,31.3,46.9,5.9,0,5.9,0,35.3,53.8,1,Luke Kennard,
267,16.0,1.3,29.6,0.86,1.1,0.3,1.2,26.3,39.5,4.8,4.8,4.8,0,28.6,21.7,1,Seth Curry,
268,10.0,2.1,9.1,0.86,1.8,0.6,1.9,31.6,39.5,4.8,4.8,4.8,0,33.3,21.7,1,Terry Rozier,
269,15.0,1.7,18.8,0.72,1.2,0.4,1.5,27.3,36.4,4,8,4,0,28,8.9,1,Precious Achiuwa,
270,14.0,1.9,36.1,0.69,1.3,0.6,1.5,38.1,42.9,0,19.2,0,0,30.8,7.3,1,Kris Dunn,
271,10.0,1.6,35.6,1.06,1.7,0.5,1.4,35.7,50.0,12.5,0,12.5,0,43.8,54.5,1,Danuel House Jr.,
272,14.0,3.1,44.9,0.39,1.2,0.4,2.6,16.2,18.9,6.8,9.1,6.8,0,20.5,0.3,1,Terance Mann,
273,8.0,1.6,31.7,1.23,2.0,0.6,1.5,41.7,58.3,7.7,0,7.7,0,46.2,83.1,0,Delon Wright,
274,18.0,0.8,6.6,1.07,0.9,0.4,0.8,53.3,53.3,0,0,0,0,53.3,55.6,1,Deandre Ayton,
275,20.0,1.1,14.8,0.73,0.8,0.3,1.0,30.0,40.0,0,9.1,0,0,27.3,9.9,1,Onyeka Okongwu,
276,9.0,1.1,25.6,1.5,1.7,0.6,1.0,55.6,83.3,0,10,0,0,50,98.0,0,Dru Smith,
277,5.0,4.0,44.4,0.75,3.0,1.0,3.0,33.3,50.0,5,20,0,0,25,11.7,1,Trey Lyles,
278,12.0,1.8,52.4,0.68,1.3,0.4,1.8,23.8,35.7,0,4.5,0,0,22.7,6.6,1,Ousmane Dieng,
279,3.0,4.3,20.6,1.08,4.7,1.7,4.0,41.7,54.2,7.7,0,7.7,0,46.2,58.1,0,Bradley Beal,
280,13.0,1.2,16.7,0.93,1.1,0.4,0.8,50.0,50.0,13.3,20,13.3,0,46.7,32.1,1,Craig Porter Jr.,
281,9.0,1.8,10.4,0.88,1.6,0.6,1.8,31.3,43.8,0,0,0,0,31.3,26.2,1,Jamal Murray,
282,16.0,1.4,37.3,0.64,0.9,0.3,1.3,23.8,33.3,0,4.5,0,0,22.7,4.3,1,John Konchar,
283,11.0,1.0,40.7,1.09,1.1,0.4,1.0,36.4,54.5,0,0,0,0,36.4,61.3,1,Kris Murray,
284,19.0,0.7,8.3,0.86,0.6,0.2,0.6,27.3,31.8,21.4,7.1,21.4,7.1,35.7,21.7,1,Marvin Bagley III,
285,20.0,1.0,4.9,0.6,0.6,0.2,0.9,23.5,29.4,10,5,5,0,30,2.3,1,Anthony Davis,
286,11.0,1.4,28.3,0.73,1.0,0.4,1.4,26.7,36.7,0,0,0,0,26.7,10.6,1,Jaden Springer,
287,11.0,2.7,19.2,0.37,1.0,0.4,2.5,14.8,20.4,0,10,0,0,13.3,0.0,1,Scoot Henderson,
288,10.0,1.0,38.5,1.0,1.0,0.3,0.9,33.3,50.0,10,0,10,0,40,43.9,1,Wesley Matthews,
289,19.0,0.7,10.9,0.77,0.5,0.2,0.6,33.3,41.7,0,7.7,0,0,30.8,14.5,1,Drew Eubanks,
290,11.0,1.4,37.5,0.67,0.9,0.3,1.1,25.0,33.3,13.3,6.7,6.7,0,26.7,6.0,1,Keon Ellis,
